iter	Passed	Remaining
0	166	82888
1	195	48670
2	219	36377
3	243	30216
4	265	26304
5	288	23714
6	308	21750
7	328	20220
8	349	19045
9	370	18138
10	401	17865
11	425	17312
12	442	16590
13	459	15966
14	478	15455
15	496	15026
16	512	14571
17	537	14392
18	565	14324
19	594	14278
20	620	14148
21	676	14704
22	719	14913
23	769	15258
24	788	14983
25	803	14639
26	815	14281
27	829	13978
28	842	13690
29	858	13446
30	887	13430
31	924	13517
32	960	13598
33	1001	13720
34	1028	13662
35	1062	13698
36	1093	13683
37	1124	13675
38	1166	13789
39	1203	13843
40	1217	13633
41	1236	13483
42	1255	13345
43	1269	13160
44	1285	12996
45	1305	12881
46	1323	12754
47	1340	12622
48	1360	12520
49	1380	12421
50	1404	12367
51	1422	12253
52	1441	12155
53	1461	12072
54	1492	12074
55	1522	12068
56	1547	12027
57	1569	11957
58	1587	11866
59	1603	11760
60	1618	11645
61	1633	11539
62	1644	11409
63	1658	11298
64	1674	11204
65	1696	11156
66	1716	11092
67	1734	11018
68	1749	10926
69	1765	10845
70	1783	10777
71	1798	10693
72	1815	10619
73	1832	10546
74	1848	10474
75	1888	10535
76	1927	10588
77	1959	10602
78	1993	10623
79	2024	10626
80	2058	10650
81	2096	10688
82	2114	10621
83	2130	10551
84	2148	10488
85	2171	10454
86	2193	10411
87	2214	10366
88	2228	10288
89	2244	10225
90	2265	10180
91	2290	10156
92	2317	10141
93	2353	10165
94	2390	10189
95	2421	10189
96	2453	10192
97	2484	10191
98	2513	10180
99	2531	10124
100	2545	10054
101	2560	9989
102	2582	9953
103	2606	9924
104	2639	9929
105	2677	9950
106	2718	9984
107	2758	10011
108	2789	10007
109	2815	9981
110	2852	9995
111	2871	9947
112	2884	9880
113	2899	9818
114	2913	9755
115	2936	9719
116	2954	9670
117	2972	9621
118	2988	9567
119	3004	9514
120	3021	9464
121	3046	9438
122	3071	9414
123	3100	9401
124	3125	9377
125	3146	9338
126	3166	9299
127	3186	9261
128	3213	9240
129	3239	9219
130	3264	9194
131	3284	9157
132	3306	9123
133	3331	9098
134	3350	9057
135	3368	9016
136	3388	8979
137	3414	8957
138	3436	8924
139	3453	8879
140	3478	8857
141	3493	8806
142	3512	8769
143	3537	8746
144	3561	8718
145	3588	8701
146	3627	8711
147	3667	8722
148	3702	8722
